"code","name","value"
"AC","Acre",""
"AL","Alagoas",""
"AP","Amapá",""
"AM","Amazonas",""
"BA","Bahia",""
"CE","Ceará",""
"DF","Distrito Federal",""
"ES","Espírito Santo",""
"GO","Goiás",""
"MA","Maranhão",""
"MT","Mato Grosso",""
"MS","Mato Grosso do Sul",""
"MG","Minas Gerais",""
"PR","Paraná",""
"PB","Paraíba",""
"PA","Pará",""
"PE","Pernambuco",""
"PI","Piauí",""
"RN","Rio Grande do Norte",""
"RS","Rio Grande do Sul",""
"RJ","Rio de Janeiro",""
"RO","Rondônia",""
"RR","Roraima",""
"SC","Santa Catarina",""
"SE","Sergipe",""
"SP","São Paulo",""
"TO","Tocantins",""
