"code","name","value"
"UA.CK","Cherkasy",""
"UA.CH","Chernihiv",""
"UA.CV","Chernivtsi",""
"UA.KR","Crimea",""
"UA.DP","Dnipropetrovs'k",""
"UA.DT","Donets'k",""
"UA.IF","Ivano-Frankivs'k",""
"UA.KK","Kharkiv",""
"UA.KS","Kherson",""
"UA.KM","Khmel'nyts'kyy",""
"UA.KV","Kiev",""
"UA.KC","Kiev City",""
"UA.KH","Kirovohrad",""
"UA.LV","L'viv",""
"UA.LH","Luhans'k",""
"UA.MY","Mykolayiv",""
"UA.OD","Odessa",""
"UA.PL","Poltava",""
"UA.RV","Rivne",""
"UA.SC","Sevastopol'",""
"UA.SM","Sumy",""
"UA.TP","Ternopil'",""
"UA.ZK","Transcarpathia",""
"UA.VI","Vinnytsya",""
"UA.VO","Volyn",""
"UA.ZP","Zaporizhzhya",""
"UA.ZT","Zhytomyr",""
