"code","name","value"
"SE.BL","Blekinge",""
"SE.KO","Dalarna",""
"SE.GT","Gotland",""
"SE.GV","Gävleborg",""
"SE.HA","Halland",""
"SE.JA","Jämtland",""
"SE.JO","Jönköping",""
"SE.KA","Kalmar",""
"SE.KR","Kronoberg",""
"SE.NB","Norrbotten",""
"SE.OR","Orebro",""
"SE.SN","Skåne",""
"SE.ST","Stockholm",""
"SE.SD","Södermanland",""
"SE.UP","Uppsala",""
"SE.VR","Värmland",""
"SE.VB","Västerbotten",""
"SE.VN","Västernorrland",""
"SE.VM","Västmanland",""
"SE.VG","Västra Götaland",""
"SE.OG","Östergötland",""
