"code","name","value"
"AG","Aargau",""
"AR","Appenzell Ausserrhoden",""
"AI","Appenzell Innerrhoden",""
"BL","Basel-Landschaft",""
"BS","Basel-Stadt",""
"BE","Bern",""
"FR","Fribourg",""
"GE","Genève",""
"GL","Glarus",""
"GR","Graubünden",""
"JU","Jura",""
"LU","Lucerne",""
"NE","Neuchâtel",""
"NW","Nidwalden",""
"OW","Obwalden",""
"SG","Sankt Gallen",""
"SH","Schaffhausen",""
"SZ","Schwyz",""
"SO","Solothurn",""
"TG","Thurgau",""
"TI","Ticino",""
"UR","Uri",""
"VS","Valais",""
"VD","Vaud",""
"ZG","Zug",""
"ZH","Zürich",""
